track_popularity,playlist_name,danceability,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
53,15,0.685,6,0,0.0894,0.334,1.1e-06,0.047,0.483,114.989,196493.0
11,15,0.62,11,0,0.0627,0.102,0.0206,0.183,0.398,123.047,221773.0
77,15,0.601,0,1,0.0473,0.269,0.0,0.0883,0.483,119.964,190295.0
56,15,0.762,11,0,0.0471,0.169,0.0,0.103,0.961,115.946,193640.0
65,15,0.684,1,0,0.0809,0.0207,1.25e-06,0.105,0.436,125.974,156168.0
34,15,0.65,4,1,0.0551,0.117,0.0,0.0772,0.351,128.09,186094.0
54,15,0.448,11,1,0.0809,0.229,0.0,0.427,0.482,122.899,170103.0
51,15,0.712,5,1,0.182,0.116,0.0,0.123,0.607,104.998,196571.0
50,15,0.674,5,1,0.115,0.054,0.0,0.379,0.503,111.969,180571.0
52,15,0.739,11,0,0.0394,0.532,0.0,0.0508,0.615,119.992,217804.0
76,15,0.647,1,0,0.0372,0.0635,0.0,0.188,0.409,127.992,192402.0
75,15,0.669,5,0,0.0575,0.128,0.0,0.297,0.576,124.964,205653.0
52,15,0.792,11,0,0.0362,0.219,0.0,0.0911,0.429,109.984,169000.0
62,15,0.706,0,0,0.0456,0.354,3.72e-06,0.146,0.465,123.012,200893.0
65,15,0.645,1,1,0.0343,0.0334,1.05e-05,0.089,0.424,127.959,226875.0
62,15,0.662,9,1,0.0971,0.073,0.0,0.0833,0.435,118.958,191786.0
10,15,0.673,11,0,0.0569,0.143,0.0,0.184,0.704,121.082,174545.0
55,15,0.516,0,0,0.0463,0.0368,0.0,0.264,0.448,127.949,198750.0
49,15,0.686,2,1,0.069,0.0386,0.0,0.251,0.452,104.988,206875.0
70,15,0.503,7,1,0.0424,0.264,5.85e-05,0.297,0.597,116.524,186750.0
61,15,0.382,6,1,0.0374,0.00236,5.24e-05,0.108,0.151,127.816,234609.0
75,21,0.59,7,1,0.122,0.0771,0.0,0.105,0.651,107.356,174444.0
60,21,0.708,4,1,0.0615,0.031,0.0,0.191,0.662,109.991,186000.0
63,21,0.588,5,1,0.0716,0.327,0.0,0.323,0.836,122.813,191650.0
73,21,0.636,0,1,0.0346,0.0796,0.0,0.13,0.454,104.845,184020.0
60,21,0.682,11,0,0.0477,0.214,0.0,0.12,0.664,91.042,195947.0
62,21,0.639,7,0,0.049,0.045,0.0,0.425,0.595,124.957,182161.0
67,21,0.815,9,0,0.218,0.399,0.0,0.0738,0.182,125.95,176773.0
61,21,0.696,0,0,0.073,0.0191,1.23e-05,0.124,0.466,125.932,186667.0
71,21,0.659,11,0,0.0649,0.27,0.0,0.187,0.187,119.858,164010.0
80,21,0.592,9,1,0.0275,0.0715,0.00982,0.142,0.516,122.011,277262.0
68,21,0.651,8,1,0.0309,0.179,0.0,0.113,0.591,121.977,167912.0
60,21,0.707,5,1,0.0701,0.145,0.00485,0.257,0.277,125.161,155520.0
66,21,0.673,6,0,0.0623,0.269,0.0,0.181,0.524,96.964,211040.0
75,21,0.567,1,0,0.108,0.317,0.0,0.14,0.541,121.924,169467.0
58,21,0.768,11,0,0.036,0.0229,0.000127,0.145,0.444,126.007,187301.0
74,21,0.734,7,1,0.0621,0.151,0.0,0.231,0.518,109.989,163636.0
